Название фильма,Страны,Режиссер,Жанр,Год
Белая лента (фильм),Франция[3] Германия[3] Австрия[3] Италия[3],Михаэль Ханеке,"драма, детектив","21 мая 2009, 18 февраля 2010[1] и 15 октября 2009[2]"
Белая лошадь (фильм),СССР,Барас Халзанов,драма,1966
Белая масаи,Германия,Хермина Хунтгебурт[de],мелодрама,2005
Белая мгла (фильм),США Франция Канада,Доминик Сена,детективтриллер,2009
Белая медведица,Россия,Дин Махаматдинов,драма,2008
Белая отрава,,,драматический фильм,
Белая пряжка,Чехословакия,Мартин Фрич,"драма, детектив",1960
Белая птица в метели,Франция США,Грегг Араки,драма / триллер,2014
Белая птица с чёрной отметиной,СССР,Юрий Ильенко,драма,1971
Белая птица: Новое чудо,США,Марк Форстер,"военный фильм, драматический фильм и экранизация книги[d]",2023
Белая пустошь,США,Джеймс Алгар,документальный фильм,1958
"Белая роза (фильм, 1916)",Российская империя,Пётр Иванович Чардынин,драма,1916
"Белая роза (фильм, 1923)",США,Дэвид Уорк Гриффит,драматический фильм и немое кино,21 мая 1923
Белая роза бессмертия,СССР,Нана Мчедлидзе,Сказкасемейный фильм,1984 (1985)
